Tmax,Tmin,Tdiff,Tavg
13,9,4,11
13,13,0,13
13,12,1,12.5
12,11,1,11.5
12,11,1,11.5
14,11,3,12.5
14,12,2,13
13,12,1,12.5
13,13,0,13
13,12,1,12.5
12,12,0,12
13,11,2,12
9,5,4,7
11,5,6,8
12,11,1,11.5
11,11,0,11
11,11,0,11
12,11,1,11.5
12,12,0,12
12,12,0,12
13,12,1,12.5
14,13,1,13.5
13,12,1,12.5
13,12,1,12.5
13,12,1,12.5
13,13,0,13
14,11,3,12.5
12,11,1,11.5
13,11,2,12
13,12,1,12.5
12,9,3,10.5
9,6,3,7.5
4,3,1,3.5
10,3,7,6.5
11,10,1,10.5
11,10,1,10.5
11,10,1,10.5
12,11,1,11.5
12,8,4,10
8,8,0,8
9,9,0,9
9,8,1,8.5
9,6,3,7.5
6,1,5,3.5
6,4,2,5
12,6,6,9
13,12,1,12.5
12,9,3,10.5
7,6,1,6.5
7,6,1,6.5
9,8,1,8.5
9,8,1,8.5
9,8,1,8.5
9,8,1,8.5
10,9,1,9.5
9,9,0,9
10,9,1,9.5
12,10,2,11
12,11,1,11.5
13,12,1,12.5
13,13,0,13
14,13,1,13.5
15,13,2,14
14,13,1,13.5
13,11,2,12
14,12,2,13
15,13,2,14
13,12,1,12.5
12,12,0,12
13,12,1,12.5
13,12,1,12.5
13,12,1,12.5
14,13,1,13.5
15,14,1,14.5
15,14,1,14.5
14,13,1,13.5
15,12,3,13.5
13,11,2,12
12,9,3,10.5
9,7,2,8
7,5,2,6
11,6,5,8.5
13,10,3,11.5
11,9,2,10
14,11,3,12.5
14,14,0,14
14,13,1,13.5
13,10,3,11.5
10,9,1,9.5
11,7,4,9
11,9,2,10
10,9,1,9.5
11,11,0,11
12,9,3,10.5
10,6,4,8
6,5,1,5.5
5,3,2,4
10,8,2,9
14,11,3,12.5
15,14,1,14.5
15,14,1,14.5
14,14,0,14
15,14,1,14.5
14,14,0,14
14,14,0,14
15,12,3,13.5
15,14,1,14.5
13,11,2,12
11,10,1,10.5
13,10,3,11.5
12,10,2,11
12,11,1,11.5
12,10,2,11
11,8,3,9.5
11,8,3,9.5
11,9,2,10
12,12,0,12
13,12,1,12.5
12,10,2,11
11,9,2,10
8,7,1,7.5
10,6,4,8
10,7,3,8.5
7,3,4,5
